"Condition" "Description" "Run" "GEO_accession"
"CTL_1" "CTL" "W1118_control_whole_gland" "SRR10291934" "GSM4123886"
"CTL_2" "CTL" "W1118_control_whole_gland" "SRR10291935" "GSM4123887"
"CTL_3" "CTL" "W1118_control_whole_gland" "SRR10291936" "GSM4123888"
"HYPERT_1" "HYPERT" "RasV12_overexp_hyperthrophy_model_whole_gland" "SRR10291937" "GSM4123889"
"HYPERT_2" "HYPERT" "RasV12_overexp_hyperthrophy_model_whole_gland" "SRR10291938" "GSM4123890"
"HYPERT_3" "HYPERT" "RasV12_overexp_hyperthrophy_model_whole_gland" "SRR10291939" "GSM4123891"
"PLUS_HYPERT_1" "PLUS_HYPERT" "RasV12_overexp_lgl_RNAi_knockdown_enhanced_hyperthrophy_model_whole_gland" "SRR10291940" "GSM4123892"
"PLUS_HYPERT_2" "PLUS_HYPERT" "RasV12_overexp_lgl_RNAi_knockdown_enhanced_hyperthrophy_model_whole_gland" "SRR10291941" "GSM4123893"
"PLUS_HYPERT_3" "PLUS_HYPERT" "RasV12_overexp_lgl_RNAi_knockdown_enhanced_hyperthrophy_model_whole_gland" "SRR10291942" "GSM4123894"
"PROXIMAL_PLUS_HYPERT_1" "PROXIMAL_PLUS_HYPERT" "RasV12_overexp_lgl_RNAi_knockdown_enhanced_hyperthrophy_model_proximal_part" "SRR10291943" "GSM4123895"
"PROXIMAL_PLUS_HYPERT_2" "PROXIMAL_PLUS_HYPERT" "RasV12_overexp_lgl_RNAi_knockdown_enhanced_hyperthrophy_model_proximal_part" "SRR10291944" "GSM4123896"
"PROXIMAL_PLUS_HYPERT_3" "PROXIMAL_PLUS_HYPERT" "RasV12_overexp_lgl_RNAi_knockdown_enhanced_hyperthrophy_model_proximal_part" "SRR10291945" "GSM4123897"
